player_id,player_name,position,TD_2018,TD_2019,TD_2020,TD_2021,TD_2022,TD_2023,TD_2024,avg_yds_after_catch_2018,avg_yds_after_catch_2019,avg_yds_after_catch_2020,avg_yds_after_catch_2021,avg_yds_after_catch_2022,avg_yds_after_catch_2023,avg_yds_after_catch_2024,avg_yds_per_carry_2018,avg_yds_per_carry_2019,avg_yds_per_carry_2020,avg_yds_per_carry_2021,avg_yds_per_carry_2022,avg_yds_per_carry_2023,avg_yds_per_carry_2024,completion_rate_2018,completion_rate_2019,completion_rate_2020,completion_rate_2021,completion_rate_2022,completion_rate_2023,completion_rate_2024,games_played_2018,games_played_2019,games_played_2020,games_played_2021,games_played_2022,games_played_2023,games_played_2024,receive_attempts_2018,receive_attempts_2019,receive_attempts_2020,receive_attempts_2021,receive_attempts_2022,receive_attempts_2023,receive_attempts_2024,rush_attempts_2018,rush_attempts_2019,rush_attempts_2020,rush_attempts_2021,rush_attempts_2022,rush_attempts_2023,rush_attempts_2024,team_2025,division,stadium_type,BYE,exp,pos_roster,avg_team_time_on_offense,strength_o_line,strength_of_schedule_calc,strength_of_qb,odd_run,odd_throw,games_played_total_career,avg_games_played_per_szn
00-0026189,D.Jackson,WR,5.0,2.0,1.0,1.0,0.0,,,4.414634146341464,1.6666666666666667,4.642857142857143,9.384615384615385,2.555555555555556,,,4.833333333333333,,12.0,4.0,,,,,,,,,,,12.0,2.0,5.0,15.0,7.0,,,74.0,10.0,26.0,18.0,17.0,,,6.0,0.0,1.0,0.5,0.0,,,BAL,AFC North,outdoor,10.0,14.0,WR,60.888888888888886,55.380417,0.5155276535565494,0.5747204159477828,0.45620438,0.54379565,56,11.2
00-0026197,C.Henne,QB,0.0,,3.0,0.0,1.0,,,,,,,,,,3.0,,1.1111111111111112,0.0,-1.0,,,0.6666666666666666,,0.7391304347826086,0.6875,0.5555555555555556,,,1.0,,4.0,4.0,3.0,,,0.0,,0.0,0.0,0.0,,,1.0,,9.0,8.0,6.0,,,KC,AFC West,outdoor,8.0,14.0,QB,63.35,85.546425,0.4778353973168214,,0.3338595,0.6661405,12,3.0
00-0026213,J.Charles,RB,0.0,,,,,,,2.5,,,,,,,1.1666666666666667,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,6.0,,,,,,,JAX,AFC South,outdoor,9.0,10.0,RB,62.5625,41.513588,0.5401294289645683,0.6259163146629287,0.35564435,0.64435565,2,2.0
00-0026293,M.Slater,WR,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,,0.0,,,,,,NE,AFC East,outdoor,10.0,11.0,WR,67.11764705882354,79.818306,0.4674378781440337,0.5523076923076924,0.3952673,0.6047327,1,1.0
00-0026300,J.Johnson,QB,4.0,,,2.5,0.0,,0.0,,,,,,,,5.217391304347826,,,3.25,1.25,,0.25,0.5714285714285714,,,0.6722222222222223,0.5333333333333333,,0.6666666666666666,4.0,,,4.0,2.0,,4.0,0.0,,,0.0,0.0,,0.0,23.0,,,4.5,4.0,,4.0,BAL,AFC North,outdoor,14.0,16.0,QB,61.42105263157895,75.81623,0.5321196437947293,,0.48500428,0.5149957,18,4.5
00-0026345,P.Garcon,WR,1.0,,,,,,,4.083333333333333,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,46.0,,,,,,,0.0,,,,,,,SF,NFC West,outdoor,11.0,10.0,WR,62.0625,43.142384,0.486296547127623,0.613797226752958,0.39879155,0.60120845,8,8.0
00-0026498,M.Stafford,QB,21.0,19.0,26.0,52.0,11.0,26.0,24.0,,,,,,,,2.84,3.3,3.8620689655172415,1.7,0.6923076923076923,3.095238095238096,1.3235294117647058,0.6612612612612613,0.6426116838487973,0.6420454545454546,0.6774628879892037,0.6798679867986799,0.63016157989228,0.6547619047619048,16.0,8.0,16.0,21.0,9.0,16.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,20.0,29.0,50.0,13.0,21.0,34.0,LA,NFC West,outdoor,6.0,15.0,QB,60.36842105263158,65.3435,0.5321760283060593,,0.4115083,0.58849174,104,14.857142857142858
00-0026544,C.Daniel,QB,3.0,3.0,1.0,0.0,1.0,,,14.0,,,,,,,0.2307692307692307,1.0,8.0,-1.0,4.0,,,0.6973684210526315,0.703125,0.6744186046511628,,0.6666666666666666,,,4.0,3.0,4.0,1.0,3.0,,,1.0,0.0,0.0,0.0,0.0,,,13.0,6.0,2.0,2.0,1.0,,,LAC,AFC West,outdoor,8.0,13.0,QB,66.94444444444444,70.019165,0.4429566563467492,,0.3195021,0.68049794,15,3.0
00-0026625,B.Hoyer,QB,0.0,4.0,0.0,1.0,0.0,0.0,,,,,,,,,-0.7272727272727273,0.25,8.0,-0.7272727272727273,,-1.0,,0.5,0.5384615384615384,0.625,0.8181818181818182,0.8333333333333334,0.5476190476190477,,5.0,4.0,1.0,5.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,8.0,1.0,11.0,0.0,3.0,,LV,AFC West,indoor,13.0,14.0,QB,58.64705882352941,56.400406,0.4903226925445101,,0.39217654,0.6078235,18,3.0
00-0026898,M.Sanchez,QB,0.0,,,,,,,,,,,,,,8.0,,,,,,,0.5428571428571428,,,,,,,2.0,,,,,,,0.0,,,,,,,1.0,,,,,,,WAS,NFC East,outdoor,4.0,9.0,QB,59.9375,48.97035,0.4762050653594771,,0.3806048,0.6193952,2,2.0
00-0026901,M.Wallace,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,0.0,,,,,,,PHI,NFC East,outdoor,9.0,9.0,WR,63.22222222222222,65.25153,0.5329890971983335,0.6291633072706704,0.36115992,0.6388401,1,1.0
