season,player_id,player_name,position,team_2025,rush_attempts,rushing_yards,rushing_tds,receive_attempts,receptions,receiving_yards,receiving_tds,receiving_yards_after_catch,passing_tds,completions,attempts,passing_yards,games_played,completion_rate,avg_yds_per_carry,avg_yds_after_catch,TD,player_name_roster,pos_roster,exp,jersey_number,status,games_played_total_career,seasons_in_data,avg_games_played_per_szn,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_team_time_on_offense,strength_of_schedule_calc,BYE,division,stadium_type,strength_of_qb,headshot_url,espn_id,image_url
2019,00-0034772,A.Callaway,WR,CLE,0,0.0,0,15,8,89.0,0,44.0,0,0,0,0.0,4,,,5.5,0,Antonio Callaway,WR,1.0,11.0,CUT,23,3,7.666666666666667,370.0,597.0,967.0,0.38262668,0.61737335,53.941257,60.4375,0.518047761867905,7.0,AFC North,outdoor,0.297196261682243,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eydr6upreksg0xwzztvw",3915097,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eydr6upreksg0xwzztvw"
2020,00-0034772,A.Callaway,WR,MIA,0,0.0,0,4,2,20.0,0,3.0,0,0,0,0.0,3,,,1.5,0,,,,,,23,3,7.666666666666667,381.0,628.0,1009.0,0.3776016,0.62239844,67.24978,63.0625,0.4562841309769522,7.0,AFC East,outdoor,0.6633862843858969,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eydr6upreksg0xwzztvw",3915097,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eydr6upreksg0xwzztvw"
2018,00-0033382,A.Carr,WR,NO,0,0.0,0,15,10,102.0,2,22.0,0,0,0,0.0,10,,,2.2,2,Austin Carr,WR,1.0,80.0,ACT,16,3,5.333333333333333,489.0,633.0,1122.0,0.43582886,0.56417114,82.272766,62.333333333333336,0.4938558269311623,6.0,NFC South,indoor,0.5736363520179945,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okh5rvqhknk9ge7pd8vn",2974339,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okh5rvqhknk9ge7pd8vn"
2019,00-0033382,A.Carr,WR,NO,0,0.0,0,4,1,9.0,0,4.0,0,0,0,0.0,2,,,4.0,0,Austin Carr,WR,2.0,80.0,RES,16,3,5.333333333333333,389.0,654.0,1043.0,0.3729626,0.6270374,77.761055,61.35294117647059,0.4894005847953216,9.0,NFC South,indoor,0.7127650330205075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okh5rvqhknk9ge7pd8vn",2974339,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okh5rvqhknk9ge7pd8vn"
2020,00-0033382,A.Carr,WR,NO,0,0.0,0,4,3,27.0,1,11.0,0,0,0,0.0,4,,,3.6666666666666665,1,Austin Carr,WR,3.0,80.0,CUT,16,3,5.333333333333333,515.0,645.0,1160.0,0.44396552,0.5560345,74.35508,64.44444444444444,0.4756144173068837,6.0,NFC South,indoor,0.6810655147588193,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uuln9v0o8aeurocrzvxp",2974339,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uuln9v0o8aeurocrzvxp"
2018,00-0032426,A.Collins,RB,BAL,114,411.0,7,21,15,105.0,1,97.0,0,0,0,0.0,10,,3.6052631578947367,6.466666666666667,8,Alex Collins,RB,2.0,34.0,RES,24,3,8.0,527.0,646.0,1173.0,0.44927537,0.5507246,61.59026,69.0,0.4967320261437908,10.0,AFC North,outdoor,0.5044365774931533,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wqtukgbvpamp4kbphyfz",3046409,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wqtukgbvpamp4kbphyfz"
2020,00-0032426,A.Collins,RB,SEA,18,77.0,2,2,1,4.0,0,1.0,0,0,0,0.0,3,,4.277777777777778,1.0,2,Alex Collins,RB,4.0,41.0,ACT,24,3,8.0,361.0,702.0,1063.0,0.33960488,0.6603951,47.5592,62.52941176470589,0.4505630425544831,6.0,NFC West,outdoor,0.7376068376068377,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wqtukgbvpamp4kbphyfz",3046409,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wqtukgbvpamp4kbphyfz"
2021,00-0032426,A.Collins,RB,SEA,108,411.0,2,10,9,87.0,0,96.0,0,0,0,0.0,11,,3.8055555555555554,10.666666666666666,2,Alex Collins,RB,5.0,41.0,RES,24,3,8.0,378.0,569.0,947.0,0.39915523,0.6008448,42.735703,55.70588235294117,0.5127807985939473,9.0,NFC West,outdoor,0.6658552631578947,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ddlhbm7zsi5o69wh6z5o",3046409,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ddlhbm7zsi5o69wh6z5o"
2018,00-0031544,A.Cooper,WR,DAL,1,11.0,0,94,66,896.0,7,398.0,0,0,0,0.0,17,,11.0,6.03030303030303,7,Amari Cooper,WR,3.0,19.0,ACT,147,7,21.0,449.0,680.0,1129.0,0.3976971,0.6023029,38.6368,62.72222222222222,0.5028057275541795,8.0,NFC East,indoor,0.6734348561759729,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekwyie7av318q4eaffiy",2976499,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekwyie7av318q4eaffiy"
2018,00-0031544,A.Cooper,WR,LV,1,9.0,0,31,22,280.0,1,97.0,0,0,0,0.0,17,,9.0,4.409090909090909,1,,,,,,147,7,21.0,368.0,610.0,978.0,0.37627813,0.6237219,38.68121,61.125,,,AFC West,indoor,0.5111512959614225,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekwyie7av318q4eaffiy",2976499,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekwyie7av318q4eaffiy"
