season,team,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_offensive_plays_per_game,strength_of_schedule
2021,WAS,430.0,636.0,1066.0,0.40337712,0.5966229,54.82557,62.705882352941174,0.5140209231267326
2022,ARI,389.0,753.0,1142.0,0.34063047,0.6593695,60.92949,67.17647058823529,0.5184352172241445
2022,ATL,512.0,488.0,1000.0,0.512,0.488,47.362667,58.8235294117647,0.4559734110362411
2022,BAL,500.0,596.0,1096.0,0.45620438,0.54379565,55.380417,60.888888888888886,0.5155276535565494
2022,BUF,398.0,753.0,1151.0,0.34578627,0.6542137,67.04495,63.94444444444444,0.4973808431754768
2022,CAR,461.0,510.0,971.0,0.47476828,0.5252317,52.180767,57.11764705882353,0.4646340476335013
2022,CHI,476.0,509.0,985.0,0.48324874,0.5167513,12.246025,57.94117647058823,0.554348529917643
2022,CIN,407.0,812.0,1219.0,0.33388022,0.66611975,55.943726,64.15789473684211,0.5360454800572122
2022,CLE,484.0,615.0,1099.0,0.44040036,0.55959964,51.29986,64.6470588235294,0.5109472065399947
2022,DAL,551.0,677.0,1228.0,0.44869706,0.5513029,77.74025,64.63157894736842,0.5006418264443359
2022,DEN,407.0,663.0,1070.0,0.38037384,0.61962616,29.676945,62.94117647058823,0.47207855278334243
2022,DET,454.0,627.0,1081.0,0.4199815,0.5800185,81.938614,63.588235294117645,0.518699285699832
2022,GB,428.0,608.0,1036.0,0.41312742,0.5868726,68.71866,60.94117647058823,0.5086930128088387
2022,HOU,370.0,641.0,1011.0,0.36597428,0.6340257,62.593353,59.470588235294116,0.4687478500171998
2022,IND,411.0,689.0,1100.0,0.37363636,0.62636364,36.989517,64.70588235294117,0.4991207835043202
2022,JAX,452.0,744.0,1196.0,0.3779264,0.6220736,77.579346,62.94736842105263,0.4780565965998587
2022,KC,423.0,844.0,1267.0,0.3338595,0.6661405,85.546425,63.35,0.47783539731682145
2022,LA,376.0,611.0,987.0,0.3809524,0.61904764,28.25827,58.05882352941177,0.5079716303446042
2022,LAC,385.0,820.0,1205.0,0.3195021,0.68049794,70.019165,66.94444444444444,0.44295665634674924
2022,LV,399.0,649.0,1048.0,0.3807252,0.6192748,67.52364,61.64705882352941,0.46708047512090495
2022,MIA,375.0,690.0,1065.0,0.35211268,0.64788735,65.135864,59.166666666666664,0.5395740167411994
2022,MIN,396.0,774.0,1170.0,0.33846155,0.6615385,61.266075,65.0,0.4668252876199212
2022,NE,382.0,604.0,986.0,0.38742393,0.61257607,54.674294,58.0,0.4902871365264372
2022,NO,441.0,564.0,1005.0,0.43880597,0.561194,55.139317,59.11764705882353,0.49553511807199657
2022,NYG,484.0,709.0,1193.0,0.4056999,0.5943001,43.14891,62.78947368421053,0.5340883167671501
2022,NYJ,375.0,688.0,1063.0,0.35277516,0.64722484,60.9686,62.529411764705884,0.5264372002671037
2022,PHI,594.0,720.0,1314.0,0.4520548,0.5479452,55.79249,65.7,0.49567767457860334
2022,PIT,459.0,642.0,1101.0,0.41689372,0.5831063,62.6784,64.76470588235294,0.5080252534450312
2022,SEA,402.0,695.0,1097.0,0.36645398,0.63354605,52.258717,60.94444444444444,0.47270381836945297
2022,SF,559.0,643.0,1202.0,0.46505824,0.5349418,64.19551,60.1,0.44612229102167184
2022,TB,378.0,850.0,1228.0,0.30781758,0.6921824,91.18739,68.22222222222223,0.5095879677407025
2022,TEN,450.0,529.0,979.0,0.4596527,0.5403473,31.882746,57.588235294117645,0.4938292964244521
2022,WAS,500.0,635.0,1135.0,0.44052863,0.55947137,47.573685,66.76470588235294,0.5201835326493859
2023,ARI,436.0,635.0,1071.0,0.40709618,0.59290385,56.27595,63.0,0.5453732370141039
2023,ATL,481.0,602.0,1083.0,0.44413665,0.5558633,55.99648,63.705882352941174,0.42762702604261515
2023,BAL,503.0,684.0,1187.0,0.42375737,0.5762426,52.56095,62.473684210526315,0.5421890639912474
2023,BUF,505.0,732.0,1237.0,0.40824574,0.59175426,84.47906,65.10526315789474,0.4835217558861033
2023,CAR,411.0,683.0,1094.0,0.37568554,0.6243144,29.54271,64.3529411764706,0.5166312551852527
2023,CHI,468.0,621.0,1089.0,0.42975205,0.57024795,43.038048,64.05882352941177,0.4642693816432662
2023,CIN,337.0,695.0,1032.0,0.3265504,0.67344964,50.93355,60.705882352941174,0.5632717896240024
2023,CLE,503.0,748.0,1251.0,0.40207833,0.59792167,56.85959,69.5,0.5293142988189428
2023,DAL,441.0,754.0,1195.0,0.36903766,0.6309624,63.447044,66.38888888888889,0.44148797920727745
2023,DEN,399.0,603.0,1002.0,0.39820358,0.6017964,37.769806,58.94117647058823,0.4895841102178745
2023,DET,544.0,764.0,1308.0,0.41590214,0.58409786,71.383415,65.4,0.49746007174799745
2023,GB,463.0,693.0,1156.0,0.40051904,0.599481,77.32212,60.8421052631579,0.4953945751892631
2023,HOU,448.0,717.0,1165.0,0.38454935,0.6154506,56.820095,61.31578947368421,0.48985208118335055
2023,IND,439.0,648.0,1087.0,0.40386385,0.59613615,58.91931,63.94117647058823,0.4824763754831138
2023,JAX,391.0,711.0,1102.0,0.35480943,0.64519054,64.0079,64.82352941176471,0.5286191256688434
2023,KC,440.0,882.0,1322.0,0.33282906,0.66717094,82.73301,62.95238095238095,0.5123642439431914
2023,LA,468.0,678.0,1146.0,0.40837696,0.591623,68.289696,63.666666666666664,0.5285269273401368
2023,LAC,381.0,715.0,1096.0,0.34762773,0.65237224,61.803616,64.47058823529412,0.5298216706703321
2023,LV,391.0,606.0,997.0,0.39217654,0.6078235,56.400406,58.64705882352941,0.4903226925445101
2023,MIA,438.0,657.0,1095.0,0.4,0.6,70.93205,60.833333333333336,0.46081025002593634
2023,MIN,354.0,709.0,1063.0,0.33301976,0.66698027,56.138897,62.529411764705884,0.5089060598439582
2023,NE,389.0,627.0,1016.0,0.382874,0.617126,46.68542,59.76470588235294,0.5140518539717229
2023,NO,447.0,655.0,1102.0,0.40562615,0.5943739,67.97862,64.82352941176471,0.429164896092596
2023,NYG,381.0,668.0,1049.0,0.36320305,0.63679695,0.0,61.705882352941174,0.49779234707298814
2023,NYJ,354.0,695.0,1049.0,0.33746424,0.6625357,32.38125,61.705882352941174,0.4925520259703469
2023,PHI,466.0,692.0,1158.0,0.40241796,0.59758204,61.29359,64.33333333333333,0.47769423558897245
2023,PIT,463.0,607.0,1070.0,0.4327103,0.5672897,61.0524,59.44444444444444,0.5349711424530825
2023,SEA,348.0,636.0,984.0,0.35365853,0.64634144,62.07746,57.88235294117647,0.4971306582488517
2023,SF,532.0,660.0,1192.0,0.44630873,0.55369127,64.16513,59.6,0.5173775124084722
2023,TB,427.0,731.0,1158.0,0.36873922,0.6312608,56.716423,60.94736842105263,0.4953687107345246
2023,TEN,408.0,576.0,984.0,0.41463414,0.58536583,14.859611,57.88235294117647,0.5134260102389769
2023,WAS,323.0,737.0,1060.0,0.30471697,0.695283,35.964767,62.35294117647059,0.49797446326311745
2024,ARI,418.0,613.0,1031.0,0.40543163,0.5945684,72.118904,60.64705882352941,0.5242244885570327
2024,ATL,477.0,596.0,1073.0,0.444548,0.555452,67.74269,63.11764705882353,0.5062640742571539
2024,BAL,566.0,601.0,1167.0,0.48500428,0.5149957,75.81623,61.421052631578945,0.5321196437947293
2024,BUF,529.0,673.0,1202.0,0.44009984,0.55990016,91.19061,60.1,0.4954661162710698
2024,CAR,359.0,628.0,987.0,0.36372846,0.63627154,64.39622,58.05882352941177,0.49011643873235566
2024,CHI,369.0,690.0,1059.0,0.34844193,0.6515581,26.427608,62.294117647058826,0.5368157995912503
2024,CIN,346.0,723.0,1069.0,0.323667,0.676333,56.04726,62.88235294117647,0.466805566395805
2024,CLE,351.0,770.0,1121.0,0.3131133,0.6868867,38.249825,65.94117647058823,0.5256290958075697
